id html probability child_path
5/6 V/vi 0.015 1,4,5/6
57 V<sup>7</sup> 0.012 1,4,57
b7 &#9837;VII 0.012 1,4,b7
27 ii<sup>7</sup> 0.011 1,4,27
164 I<sup>6</sup><sub>4</sub> 0.009 1,4,164
5/5 V/V 0.007 1,4,5/5
7/5 vii&deg;/V 0.006 1,4,7/5
37 iii<sup>7</sup> 0.006 1,4,37
47 IV<sup>7</sup> 0.006 1,4,47
67 vi<sup>7</sup> 0.005 1,4,67
4 IV 0.309 1,6,4
5 V 0.231 1,6,5
1 I 0.105 1,6,1
2 ii 0.094 1,6,2
3 iii 0.082 1,6,3
5/6 V/vi 0.019 1,6,5/6
27 ii<sup>7</sup> 0.019 1,6,27
b7 &#9837;VII 0.016 1,6,b7
56 V<sup>6</sup> 0.011 1,6,56
164 I<sup>6</sup><sub>4</sub> 0.009 1,6,164
5/5 V/V 0.009 1,6,5/5
664 vi<sup>6</sup><sub>4</sub> 0.006 1,6,664
26 ii<sup>6</sup> 0.006 1,6,26
47 IV<sup>7</sup> 0.005 1,6,47
16 I<sup>6</sup> 0.005 1,6,16
6 vi 0.252 1,2,6
4 IV 0.158 1,2,4
3 iii 0.154 1,2,3
1 I 0.126 1,2,1
5 V 0.094 1,2,5
16 I<sup>6</sup> 0.052 1,2,16
5/6 V/vi 0.02 1,2,5/6
b7 &#9837;VII 0.017 1,2,b7
27 ii<sup>7</sup> 0.009 1,2,27
66 vi<sup>6</sup> 0.009 1,2,66
264 ii<sup>6</sup><sub>4</sub> 0.008 1,2,264
164 I<sup>6</sup><sub>4</sub> 0.007 1,2,164
57 V<sup>7</sup> 0.007 1,2,57
26 ii<sup>6</sup> 0.006 1,2,26
564 V<sup>6</sup><sub>4</sub> 0.006 1,2,564
b4 iv 0.005 1,2,b4
77 vii<sup>??</sup><sup>7</sup> 0.005 1,2,77
67 vi<sup>7</sup> 0.005 1,2,67
6 vi 0.503 1,56,6
67 vi<sup>7</sup> 0.074 1,56,67
46 IV<sup>6</sup> 0.074 1,56,46
4 IV 0.07 1,56,4
1 I 0.055 1,56,1
5 V 0.045 1,56,5
2 ii 0.04 1,56,2
b7 &#9837;VII 0.027 1,56,b7
27 ii<sup>7</sup> 0.011 1,56,27
5/6 V/vi 0.008 1,56,5/6
564 V<sup>6</sup><sub>4</sub> 0.007 1,56,564
564/5 V<sup>6</sup><sub>4</sub>/V 0.007 1,56,564/5
66 vi<sup>6</sup> 0.007 1,56,66
3 iii 0.006 1,56,3
5/5 V/V 0.006 1,56,5/5
4 IV 0.371 1,3,4
6 vi 0.283 1,3,6
5 V 0.084 1,3,5
1 I 0.064 1,3,1
2 ii 0.042 1,3,2
5/5 V/V 0.029 1,3,5/5
27 ii<sup>7</sup> 0.014 1,3,27
67 vi<sup>7</sup> 0.012 1,3,67
36 iii<sup>6</sup> 0.01 1,3,36
b7 &#9837;VII 0.01 1,3,b7
17 I<sup>7</sup> 0.008 1,3,17
b3 &#9837;III 0.005 1,3,b3
56/5 V<sup>6</sup>/V 0.005 1,3,56/5
M6 vi 0.005 1,3,M6
47 IV<sup>7</sup> 0.005 1,3,47
D47 IVb7 0.005 1,3,D47
4 IV 0.382 1,16,4
1 I 0.15 1,16,1
47 IV<sup>7</sup> 0.082 1,16,47
5 V 0.063 1,16,5
26 ii<sup>6</sup> 0.056 1,16,26
164 I<sup>6</sup><sub>4</sub> 0.052 1,16,164
2 ii 0.047 1,16,2
265 ii<sup>6</sup><sub>5</sub> 0.02 1,16,265
3 iii 0.017 1,16,3
L265 II<sup>6</sup><sub>5</sub> 0.017 1,16,L265
6 vi 0.011 1,16,6
27 ii<sup>7</sup> 0.008 1,16,27
5/5 V/V 0.008 1,16,5/5
564 V<sup>6</sup><sub>4</sub> 0.008 1,16,564
57/6 V<sup>7</sup>/vi 0.006 1,16,57/6
17 I<sup>7</sup> 0.006 1,16,17
b7 &#9837;VII 0.006 1,16,b7
464/4 IV<sup>6</sup><sub>4</sub>/IV 0.006 1,16,464/4
543 V<sup>4</sup><sub>3</sub> 0.006 1,16,543
1 I 0.437 1,164,1
4 IV 0.13 1,164,4
6 vi 0.113 1,164,6
5 V 0.049 1,164,5
16 I<sup>6</sup> 0.042 1,164,16
b6 &#9837;VI 0.023 1,164,b6
142 I<sup>4</sup><sub>2</sub> 0.018 1,164,142
464 IV<sup>6</sup><sub>4</sub> 0.017 1,164,464
3 iii 0.014 1,164,3
56 V<sup>6</sup> 0.01 1,164,56
564 V<sup>6</sup><sub>4</sub> 0.009 1,164,564
b46 iv<sup>6</sup> 0.009 1,164,b46
17 I<sup>7</sup> 0.009 1,164,17
2 ii 0.009 1,164,2
642 vi<sup>4</sup><sub>2</sub> 0.006 1,164,642
464/4 IV<sup>6</sup><sub>4</sub>/IV 0.006 1,164,464/4
46 IV<sup>6</sup> 0.006 1,164,46
542 V<sup>4</sup><sub>2</sub> 0.006 1,164,542
57/5 V<sup>7</sup>/V 0.006 1,164,57/5
27 ii<sup>7</sup> 0.006 1,164,27
37 iii<sup>7</sup> 0.006 1,164,37
5/6 V/vi 0.006 1,164,5/6
165 I<sup>6</sup><sub>5</sub> 0.005 1,164,165
4 IV 0.378 1,b7,4
6 vi 0.13 1,b7,6
1 I 0.113 1,b7,1
5 V 0.084 1,b7,5
46 IV<sup>6</sup> 0.069 1,b7,46
67 vi<sup>7</sup> 0.029 1,b7,67
b6 &#9837;VI 0.029 1,b7,b6
2 ii 0.027 1,b7,2
7 vii&deg; 0.026 1,b7,7
b3 &#9837;III 0.024 1,b7,b3
5/6 V/vi 0.011 1,b7,5/6
L7 vii 0.011 1,b7,L7
5/2 V/ii 0.01 1,b7,5/2
M56 v<sup>6</sup> 0.006 1,b7,M56
b67 &#9837;VI<sup>7</sup> 0.005 1,b7,b67
D3 &#9837;III 0.005 1,b7,D3
1 I 0.687 1,464,1
17 I<sup>7</sup> 0.049 1,464,17
6 vi 0.027 1,464,6
5 V 0.026 1,464,5
564 V<sup>6</sup><sub>4</sub> 0.024 1,464,564
57/4 V<sup>7</sup>/IV 0.02 1,464,57/4
M17 Ib7 0.019 1,464,M17
b464 iv<sup>6</sup><sub>4</sub> 0.018 1,464,b464
57 V<sup>7</sup> 0.016 1,464,57
56 V<sup>6</sup> 0.016 1,464,56
4 IV 0.016 1,464,4
16 I<sup>6</sup> 0.014 1,464,16
L242 II<sup>4</sup><sub>2</sub> 0.008 1,464,L242
364 iii<sup>6</sup><sub>4</sub> 0.008 1,464,364
2 ii 0.008 1,464,2
L4 &#9839;iv&deg; 0.008 1,464,L4
443 IV<sup>4</sup><sub>3</sub> 0.005 1,464,443
16 I<sup>6</sup> 0.221 1,27,16
4 IV 0.12 1,27,4
57 V<sup>7</sup> 0.099 1,27,57
1 I 0.093 1,27,1
6 vi 0.091 1,27,6
5 V 0.064 1,27,5
3 iii 0.055 1,27,3
37 iii<sup>7</sup> 0.039 1,27,37
47 IV<sup>7</sup> 0.022 1,27,47
5/6 V/vi 0.021 1,27,5/6
b165 i<sup>6</sup><sub>5</sub> 0.018 1,27,b165
2 ii 0.016 1,27,2
67 vi<sup>7</sup> 0.016 1,27,67
36 iii<sup>6</sup> 0.008 1,27,36
D3 &#9837;III 0.006 1,27,D3
57/6 V<sup>7</sup>/vi 0.005 1,27,57/6
6 vi 0.618 1,5/6,6
4 IV 0.26 1,5/6,4
57/6 V<sup>7</sup>/vi 0.035 1,5/6,57/6
1 I 0.028 1,5/6,1
2 ii 0.018 1,5/6,2
17 I<sup>7</sup> 0.013 1,5/6,17
5/5 V/V 0.009 1,5/6,5/5
5/2 V/ii 0.009 1,5/6,5/2
5 V 0.327 1,47,5
3 iii 0.089 1,47,3
37 iii<sup>7</sup> 0.076 1,47,37
6 vi 0.076 1,47,6
2 ii 0.056 1,47,2
1 I 0.052 1,47,1
67 vi<sup>7</sup> 0.031 1,47,67
4 IV 0.03 1,47,4
27 ii<sup>7</sup> 0.03 1,47,27
164 I<sup>6</sup><sub>4</sub> 0.027 1,47,164
56 V<sup>6</sup> 0.02 1,47,56
57 V<sup>7</sup> 0.02 1,47,57
265 ii<sup>6</sup><sub>5</sub> 0.019 1,47,265
26 ii<sup>6</sup> 0.017 1,47,26
b7 &#9837;VII 0.015 1,47,b7
16 I<sup>6</sup> 0.015 1,47,16
365 iii<sup>6</sup><sub>5</sub> 0.014 1,47,365
464 IV<sup>6</sup><sub>4</sub> 0.012 1,47,464
77 vii<sup>??</sup><sup>7</sup> 0.011 1,47,77
57/6 V<sup>7</sup>/vi 0.01 1,47,57/6
57/5 V<sup>7</sup>/V 0.007 1,47,57/5
5/5 V/V 0.005 1,47,5/5
4 IV 0.211 1,5/5,4
6 vi 0.145 1,5/5,6
5 V 0.113 1,5/5,5
3 iii 0.088 1,5/5,3
5/6 V/vi 0.084 1,5/5,5/6
b3 &#9837;III 0.042 1,5/5,b3
67 vi<sup>7</sup> 0.04 1,5/5,67
1 I 0.037 1,5/5,1
b4 iv 0.037 1,5/5,b4
b7 &#9837;VII 0.029 1,5/5,b7
2 ii 0.025 1,5/5,2
56 V<sup>6</sup> 0.016 1,5/5,56
16 I<sup>6</sup> 0.012 1,5/5,16
57 V<sup>7</sup> 0.011 1,5/5,57
565/3 V<sup>6</sup><sub>5</sub>/iii 0.011 1,5/5,565/3
564 V<sup>6</sup><sub>4</sub> 0.011 1,5/5,564
47 IV<sup>7</sup> 0.009 1,5/5,47
b6 &#9837;VI 0.008 1,5/5,b6
7/3 vii&deg;/iii 0.005 1,5/5,7/3
643 vi<sup>4</sup><sub>3</sub> 0.005 1,5/5,643
D3 &#9837;III 0.005 1,5/5,D3
265 ii<sup>6</sup><sub>5</sub> 0.005 1,5/5,265
L7 vii 0.005 1,5/5,L7
b37 &#9837;III<sup>7</sup> 0.005 1,5/5,b37
57/6 V<sup>7</sup>/vi 0.005 1,5/5,57/6
27 ii<sup>7</sup> 0.005 1,5/5,27
L264 II<sup>6</sup><sub>4</sub> 0.005 1,5/5,L264
6 vi 0.5 1,364,6
4 IV 0.11 1,364,4
1 I 0.054 1,364,1
3 iii 0.046 1,364,3
b7 &#9837;VII 0.036 1,364,b7
2 ii 0.027 1,364,2
67 vi<sup>7</sup> 0.024 1,364,67
M142 I<sup>4</sup><sub>2</sub> 0.021 1,364,M142
57/6 V<sup>7</sup>/vi 0.016 1,364,57/6
46 IV<sup>6</sup> 0.016 1,364,46
b56 v<sup>6</sup> 0.016 1,364,b56
5 V 0.013 1,364,5
343 iii<sup>4</sup><sub>3</sub> 0.013 1,364,343
47 IV<sup>7</sup> 0.011 1,364,47
264 ii<sup>6</sup><sub>4</sub> 0.008 1,364,264
56 V<sup>6</sup> 0.005 1,364,56
265 ii<sup>6</sup><sub>5</sub> 0.005 1,364,265
142 I<sup>4</sup><sub>2</sub> 0.005 1,364,142
5 V 0.243 1,67,5
4 IV 0.152 1,67,4
27 ii<sup>7</sup> 0.097 1,67,27
47 IV<sup>7</sup> 0.06 1,67,47
37 iii<sup>7</sup> 0.044 1,67,37
265 ii<sup>6</sup><sub>5</sub> 0.042 1,67,265
1 I 0.04 1,67,1
57/5 V<sup>7</sup>/V 0.035 1,67,57/5
3 iii 0.032 1,67,3
164 I<sup>6</sup><sub>4</sub> 0.023 1,67,164
2 ii 0.017 1,67,2
57 V<sup>7</sup> 0.017 1,67,57
542 V<sup>4</sup><sub>2</sub> 0.013 1,67,542
642 vi<sup>4</sup><sub>2</sub> 0.013 1,67,642
365 iii<sup>6</sup><sub>5</sub> 0.013 1,67,365
6 vi 0.013 1,67,6
56 V<sup>6</sup> 0.007 1,67,56
D47 IVb7 0.007 1,67,D47
143 I<sup>4</sup><sub>3</sub> 0.007 1,67,143
b7 &#9837;VII 0.007 1,67,b7
465 IV<sup>6</sup><sub>5</sub> 0.007 1,67,465
26 ii<sup>6</sup> 0.005 1,67,26
5/5 V/V 0.005 1,67,5/5
1 I 0.173 1,17,1
4 IV 0.139 1,17,4
57/4 V<sup>7</sup>/IV 0.131 1,17,57/4
464 IV<sup>6</sup><sub>4</sub> 0.069 1,17,464
66 vi<sup>6</sup> 0.054 1,17,66
47 IV<sup>7</sup> 0.052 1,17,47
6 vi 0.045 1,17,6
5 V 0.035 1,17,5
665 vi<sup>6</sup><sub>5</sub> 0.03 1,17,665
b57 v<sup>7</sup> 0.027 1,17,b57
M17 Ib7 0.027 1,17,M17
b37 &#9837;III<sup>7</sup> 0.02 1,17,b37
3 iii 0.018 1,17,3
164 I<sup>6</sup><sub>4</sub> 0.013 1,17,164
2 ii 0.013 1,17,2
664 vi<sup>6</sup><sub>4</sub> 0.013 1,17,664
465 IV<sup>6</sup><sub>5</sub> 0.008 1,17,465
27 ii<sup>7</sup> 0.007 1,17,27
57 V<sup>7</sup> 0.007 1,17,57
242 ii<sup>4</sup><sub>2</sub> 0.007 1,17,242
37 iii<sup>7</sup> 0.007 1,17,37
M5 v 0.007 1,17,M5
542/4 V<sup>4</sup><sub>2</sub>/IV 0.007 1,17,542/4
67 vi<sup>7</sup> 0.007 1,17,67
46 IV<sup>6</sup> 0.007 1,17,46
77/5 vii<sup>??</sup><sup>7</sup>/V 0.005 1,17,77/5
1 I 0.538 1,57,1
6 vi 0.095 1,57,6
4 IV 0.091 1,57,4
67 vi<sup>7</sup> 0.036 1,57,67
5 V 0.03 1,57,5
642 vi<sup>4</sup><sub>2</sub> 0.03 1,57,642
b7 &#9837;VII 0.028 1,57,b7
M17 Ib7 0.023 1,57,M17
164 I<sup>6</sup><sub>4</sub> 0.011 1,57,164
D47 IVb7 0.011 1,57,D47
b4 iv 0.008 1,57,b4
47 IV<sup>7</sup> 0.008 1,57,47
2 ii 0.008 1,57,2
543 V<sup>4</sup><sub>3</sub> 0.008 1,57,543
46 IV<sup>6</sup> 0.008 1,57,46
16 I<sup>6</sup> 0.008 1,57,16
365 iii<sup>6</sup><sub>5</sub> 0.008 1,57,365
264 ii<sup>6</sup><sub>4</sub> 0.008 1,57,264
7/6 vii&deg;/vi 0.008 1,57,7/6
6 vi 0.501 1,142,6
67 vi<sup>7</sup> 0.261 1,142,67
542/4 V<sup>4</sup><sub>2</sub>/IV 0.066 1,142,542/4
4 IV 0.058 1,142,4
M142 I<sup>4</sup><sub>2</sub> 0.048 1,142,M142
5 V 0.019 1,142,5
46 IV<sup>6</sup> 0.017 1,142,46
1 I 0.008 1,142,1
57/2 V<sup>7</sup>/ii 0.008 1,142,57/2
565 V<sup>6</sup><sub>5</sub> 0.008 1,142,565
16 I<sup>6</sup> 0.192 1,564,16
6 vi 0.177 1,564,6
4 IV 0.157 1,564,4
1 I 0.104 1,564,1
5 V 0.062 1,564,5
464 IV<sup>6</sup><sub>4</sub> 0.049 1,564,464
664 vi<sup>6</sup><sub>4</sub> 0.044 1,564,664
543 V<sup>4</sup><sub>3</sub> 0.035 1,564,543
56 V<sup>6</sup> 0.033 1,564,56
2 ii 0.024 1,564,2
67 vi<sup>7</sup> 0.018 1,564,67
3 iii 0.018 1,564,3
164 I<sup>6</sup><sub>4</sub> 0.015 1,564,164
37 iii<sup>7</sup> 0.013 1,564,37
7/2 vii&deg;/ii 0.011 1,564,7/2
27 ii<sup>7</sup> 0.009 1,564,27
Y3 &#9837;III 0.009 1,564,Y3
66 vi<sup>6</sup> 0.009 1,564,66
6 vi 0.237 1,37,6
67 vi<sup>7</sup> 0.192 1,37,67
4 IV 0.117 1,37,4
27 ii<sup>7</sup> 0.084 1,37,27
47 IV<sup>7</sup> 0.082 1,37,47
265 ii<sup>6</sup><sub>5</sub> 0.035 1,37,265
b165 i<sup>6</sup><sub>5</sub> 0.033 1,37,b165
5 V 0.031 1,37,5
365 iii<sup>6</sup><sub>5</sub> 0.018 1,37,365
3 iii 0.018 1,37,3
b16 i<sup>6</sup> 0.018 1,37,b16
1 I 0.018 1,37,1
C37 &#9837;iii<sup>7</sup> 0.009 1,37,C37
664 vi<sup>6</sup><sub>4</sub> 0.009 1,37,664
M47 IV<sup>7</sup> 0.009 1,37,M47
36 iii<sup>6</sup> 0.009 1,37,36
2 ii 0.009 1,37,2
343 iii<sup>4</sup><sub>3</sub> 0.009 1,37,343
4 IV 0.377 1,b3,4
1 I 0.124 1,b3,1
b7 &#9837;VII 0.1 1,b3,b7
5 V 0.077 1,b3,5
5/5 V/V 0.069 1,b3,5/5
b76 &#9837;VII<sup>6</sup> 0.047 1,b3,b76
2 ii 0.047 1,b3,2
b5 v 0.029 1,b3,b5
b6 &#9837;VI 0.026 1,b3,b6
D47 IVb7 0.021 1,b3,D47
Y2 &#9837;II 0.021 1,b3,Y2
M143 I<sup>4</sup><sub>3</sub> 0.011 1,b3,M143
D3 &#9837;III 0.011 1,b3,D3
b37 &#9837;III<sup>7</sup> 0.011 1,b3,b37
D4 IV 0.011 1,b3,D4
7 vii&deg; 0.005 1,b3,7
6 vi 0.563 1,57/6,6
4 IV 0.274 1,57/6,4
67 vi<sup>7</sup> 0.035 1,57/6,67
D47 IVb7 0.032 1,57/6,D47
27 ii<sup>7</sup> 0.024 1,57/6,27
542/6 V<sup>4</sup><sub>2</sub>/vi 0.012 1,57/6,542/6
565/3 V<sup>6</sup><sub>5</sub>/iii 0.012 1,57/6,565/3
565/6 V<sup>6</sup><sub>5</sub>/vi 0.012 1,57/6,565/6
2 ii 0.012 1,57/6,2
57/2 V<sup>7</sup>/ii 0.012 1,57/6,57/2
5 V 0.44 4,1,5
4 IV 0.159 4,1,4
6 vi 0.112 4,1,6
2 ii 0.05 4,1,2
56 V<sup>6</sup> 0.035 4,1,56
3 iii 0.031 4,1,3
5/6 V/vi 0.022 4,1,5/6
b7 &#9837;VII 0.02 4,1,b7
164 I<sup>6</sup><sub>4</sub> 0.012 4,1,164
27 ii<sup>7</sup> 0.011 4,1,27
5/5 V/V 0.01 4,1,5/5
364 iii<sup>6</sup><sub>4</sub> 0.007 4,1,364
67 vi<sup>7</sup> 0.007 4,1,67
564 V<sup>6</sup><sub>4</sub> 0.006 4,1,564
57 V<sup>7</sup> 0.006 4,1,57
b3 &#9837;III 0.005 4,1,b3
37 iii<sup>7</sup> 0.005 4,1,37
16 I<sup>6</sup> 0.005 4,1,16
6 vi 0.362 4,5,6
1 I 0.283 4,5,1
4 IV 0.111 4,5,4
3 iii 0.068 4,5,3
2 ii 0.046 4,5,2
67 vi<sup>7</sup> 0.016 4,5,67
16 I<sup>6</sup> 0.011 4,5,16
5/6 V/vi 0.009 4,5,5/6
56/6 V<sup>6</sup>/vi 0.007 4,5,56/6
b7 &#9837;VII 0.007 4,5,b7
37 iii<sup>7</sup> 0.007 4,5,37
5/5 V/V 0.006 4,5,5/5
7/6 vii&deg;/vi 0.006 4,5,7/6
56 V<sup>6</sup> 0.005 4,5,56
b6 &#9837;VI 0.005 4,5,b6
57 V<sup>7</sup> 0.005 4,5,57
5 V 0.456 4,6,5
1 I 0.167 4,6,1
4 IV 0.133 4,6,4
3 iii 0.042 4,6,3
2 ii 0.035 4,6,2
56 V<sup>6</sup> 0.017 4,6,56
66 vi<sup>6</sup> 0.011 4,6,66
67 vi<sup>7</sup> 0.011 4,6,67
47 IV<sup>7</sup> 0.009 4,6,47
5/6 V/vi 0.008 4,6,5/6
5/5 V/V 0.008 4,6,5/5
36 iii<sup>6</sup> 0.008 4,6,36
164 I<sup>6</sup><sub>4</sub> 0.007 4,6,164
27 ii<sup>7</sup> 0.007 4,6,27
37 iii<sup>7</sup> 0.005 4,6,37
642 vi<sup>4</sup><sub>2</sub> 0.005 4,6,642
b7 &#9837;VII 0.005 4,6,b7
16 I<sup>6</sup> 0.005 4,6,16
664 vi<sup>6</sup><sub>4</sub> 0.005 4,6,664
6 vi 0.251 4,2,6
5 V 0.205 4,2,5
1 I 0.109 4,2,1
4 IV 0.103 4,2,4
3 iii 0.101 4,2,3
5/6 V/vi 0.079 4,2,5/6
16 I<sup>6</sup> 0.024 4,2,16
57 V<sup>7</sup> 0.015 4,2,57
57/6 V<sup>7</sup>/vi 0.011 4,2,57/6
b7 &#9837;VII 0.011 4,2,b7
664 vi<sup>6</sup><sub>4</sub> 0.009 4,2,664
264 ii<sup>6</sup><sub>4</sub> 0.007 4,2,264
56 V<sup>6</sup> 0.007 4,2,56
6 vi 0.278 4,3,6
4 IV 0.217 4,3,4
2 ii 0.215 4,3,2
5 V 0.08 4,3,5
1 I 0.055 4,3,1
27 ii<sup>7</sup> 0.024 4,3,27
5/5 V/V 0.019 4,3,5/5
67 vi<sup>7</sup> 0.014 4,3,67
b3 &#9837;III 0.011 4,3,b3
464 IV<sup>6</sup><sub>4</sub> 0.01 4,3,464
5/6 V/vi 0.009 4,3,5/6
364 iii<sup>6</sup><sub>4</sub> 0.008 4,3,364
L7 vii 0.006 4,3,L7
36 iii<sup>6</sup> 0.005 4,3,36
2 ii 0.173 4,16,2
27 ii<sup>7</sup> 0.167 4,16,27
4 IV 0.159 4,16,4
1 I 0.149 4,16,1
5 V 0.088 4,16,5
6 vi 0.038 4,16,6
564 V<sup>6</sup><sub>4</sub> 0.037 4,16,564
5/5 V/V 0.029 4,16,5/5
57/5 V<sup>7</sup>/V 0.015 4,16,57/5
D3 &#9837;III 0.013 4,16,D3
b3 &#9837;III 0.01 4,16,b3
C16 i&deg;<sup>6</sup> 0.008 4,16,C16
b16 i<sup>6</sup> 0.008 4,16,b16
57 V<sup>7</sup> 0.007 4,16,57
543 V<sup>4</sup><sub>3</sub> 0.006 4,16,543
56 V<sup>6</sup> 0.006 4,16,56
b7 &#9837;VII 0.006 4,16,b7
7/3 vii&deg;/iii 0.005 4,16,7/3
D16 i<sup>6</sup> 0.005 4,16,D16
26 ii<sup>6</sup> 0.005 4,16,26
b6 &#9837;VI 0.005 4,16,b6
6 vi 0.65 4,5/6,6
4 IV 0.1 4,5/6,4
2 ii 0.051 4,5/6,2
5 V 0.022 4,5/6,5
57/6 V<sup>7</sup>/vi 0.021 4,5/6,57/6
565/2 V<sup>6</sup><sub>5</sub>/ii 0.018 4,5/6,565/2
66 vi<sup>6</sup> 0.016 4,5/6,66
27 ii<sup>7</sup> 0.014 4,5/6,27
1 I 0.011 4,5/6,1
5/5 V/V 0.01 4,5/6,5/5
542/6 V<sup>4</sup><sub>2</sub>/vi 0.01 4,5/6,542/6
67 vi<sup>7</sup> 0.009 4,5/6,67
564/6 V<sup>6</sup><sub>4</sub>/vi 0.007 4,5/6,564/6
642 vi<sup>4</sup><sub>2</sub> 0.007 4,5/6,642
56/6 V<sup>6</sup>/vi 0.006 4,5/6,56/6
46/4 IV<sup>6</sup>/IV 0.005 4,5/6,46/4
47 IV<sup>7</sup> 0.005 4,5/6,47
Y3 &#9837;III 0.005 4,5/6,Y3
4 IV 0.241 4,47,4
5 V 0.178 4,47,5
6 vi 0.112 4,47,6
1 I 0.077 4,47,1
365 iii<sup>6</sup><sub>5</sub> 0.047 4,47,365
265 ii<sup>6</sup><sub>5</sub> 0.043 4,47,265
2 ii 0.03 4,47,2
3 iii 0.022 4,47,3
564 V<sup>6</sup><sub>4</sub> 0.022 4,47,564
56/6 V<sup>6</sup>/vi 0.019 4,47,56/6
27 ii<sup>7</sup> 0.017 4,47,27
164 I<sup>6</sup><sub>4</sub> 0.014 4,47,164
67 vi<sup>7</sup> 0.013 4,47,67
16 I<sup>6</sup> 0.013 4,47,16
442 IV<sup>4</sup><sub>2</sub> 0.013 4,47,442
26 ii<sup>6</sup> 0.009 4,47,26
57/6 V<sup>7</sup>/vi 0.009 4,47,57/6
37 iii<sup>7</sup> 0.006 4,47,37
642 vi<sup>4</sup><sub>2</sub> 0.006 4,47,642
Y27 &#9837;II<sup>7</sup> 0.006 4,47,Y27
b4 iv 0.006 4,47,b4
L4 &#9839;iv&deg; 0.006 4,47,L4
5/6 V/vi 0.006 4,47,5/6
57 V<sup>7</sup> 0.005 4,47,57
5 V 0.199 4,27,5
67 vi<sup>7</sup> 0.147 4,27,67
6 vi 0.141 4,27,6
1 I 0.112 4,27,1
57/6 V<sup>7</sup>/vi 0.06 4,27,57/6
4 IV 0.054 4,27,4
16 I<sup>6</sup> 0.04 4,27,16
57 V<sup>7</sup> 0.039 4,27,57
3 iii 0.03 4,27,3
37 iii<sup>7</sup> 0.028 4,27,37
5/6 V/vi 0.022 4,27,5/6
442 IV<sup>4</sup><sub>2</sub> 0.013 4,27,442
565 V<sup>6</sup><sub>5</sub> 0.012 4,27,565
47 IV<sup>7</sup> 0.008 4,27,47
b3 &#9837;III 0.008 4,27,b3
265 ii<sup>6</sup><sub>5</sub> 0.007 4,27,265
56 V<sup>6</sup> 0.007 4,27,56
b7 &#9837;VII 0.007 4,27,b7
643 vi<sup>4</sup><sub>3</sub> 0.005 4,27,643
5 V 0.576 4,67,5
4 IV 0.118 4,67,4
1 I 0.092 4,67,1
16 I<sup>6</sup> 0.015 4,67,16
17 I<sup>7</sup> 0.015 4,67,17
2 ii 0.015 4,67,2
365 iii<sup>6</sup><sub>5</sub> 0.011 4,67,365
5/5 V/V 0.011 4,67,5/5
642 vi<sup>4</sup><sub>2</sub> 0.011 4,67,642
36 iii<sup>6</sup> 0.009 4,67,36
27 ii<sup>7</sup> 0.009 4,67,27
343 iii<sup>4</sup><sub>3</sub> 0.007 4,67,343
57 V<sup>7</sup> 0.007 4,67,57
142 I<sup>4</sup><sub>2</sub> 0.007 4,67,142
6 vi 0.007 4,67,6
56 V<sup>6</sup> 0.007 4,67,56
Y6 &#9837;VI 0.007 4,67,Y6
5 V 0.258 4,164,5
1 I 0.166 4,164,1
4 IV 0.141 4,164,4
6 vi 0.13 4,164,6
57 V<sup>7</sup> 0.05 4,164,57
46 IV<sup>6</sup> 0.023 4,164,46
16 I<sup>6</sup> 0.023 4,164,16
67 vi<sup>7</sup> 0.023 4,164,67
27 ii<sup>7</sup> 0.021 4,164,27
b6 &#9837;VI 0.021 4,164,b6
565/6 V<sup>6</sup><sub>5</sub>/vi 0.015 4,164,565/6
M565 v<sup>6</sup><sub>5</sub> 0.01 4,164,M565
b7 &#9837;VII 0.008 4,164,b7
3 iii 0.008 4,164,3
7/6 vii&deg;/vi 0.008 4,164,7/6
2 ii 0.008 4,164,2
464 IV<sup>6</sup><sub>4</sub> 0.008 4,164,464
56/6 V<sup>6</sup>/vi 0.008 4,164,56/6
26 ii<sup>6</sup> 0.008 4,164,26
76/5 vii&deg;<sup>6</sup>/V 0.008 4,164,76/5
56 V<sup>6</sup> 0.008 4,164,56
1 I 0.351 4,b7,1
4 IV 0.172 4,b7,4
b3 &#9837;III 0.103 4,b7,b3
6 vi 0.091 4,b7,6
7 vii&deg; 0.028 4,b7,7
5 V 0.024 4,b7,5
264 ii<sup>6</sup><sub>4</sub> 0.024 4,b7,264
46 IV<sup>6</sup> 0.018 4,b7,46
M17 Ib7 0.018 4,b7,M17
5/6 V/vi 0.016 4,b7,5/6
b5 v 0.016 4,b7,b5
56/6 V<sup>6</sup>/vi 0.016 4,b7,56/6
b6 &#9837;VI 0.014 4,b7,b6
5/5 V/V 0.012 4,b7,5/5
47/4 IV<sup>7</sup>/IV 0.012 4,b7,47/4
2 ii 0.01 4,b7,2
M3 iii&deg; 0.008 4,b7,M3
5/7 V/vii 0.008 4,b7,5/7
b17 i<sup>7</sup> 0.008 4,b7,b17
M77 &#9837;VII<sup>7</sup> 0.008 4,b7,M77
L7 vii 0.008 4,b7,L7
57/6 V<sup>7</sup>/vi 0.008 4,b7,57/6
1 I 0.562 4,57,1
4 IV 0.072 4,57,4
6 vi 0.064 4,57,6
57/6 V<sup>7</sup>/vi 0.043 4,57,57/6
5 V 0.035 4,57,5
365 iii<sup>6</sup><sub>5</sub> 0.017 4,57,365
57/4 V<sup>7</sup>/IV 0.017 4,57,57/4
3 iii 0.017 4,57,3
17 I<sup>7</sup> 0.017 4,57,17
